Transaction_ID,Date,Customer_ID,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Payment_Method,Month,Year,Quarter
f3daa723,2024-01-01 00:00:00,0583d6,Clothing,Sofa,4,412,1648,Credit Card,January,2024,1
9e5061b5,2024-01-01 01:00:00,4c0f1b,Home Decor,Novel,3,201,603,Cash,January,2024,1
a5da9276,2024-01-01 02:00:00,00b49a,Home Decor,T-Shirt,1,480,480,Credit Card,January,2024,1
b72e138c,2024-01-01 03:00:00,e093b6,Books,Laptop,2,16,32,Credit Card,January,2024,1
c6010e46,2024-01-01 04:00:00,7c817c,Home Decor,Laptop,4,342,1368,Debit Card,January,2024,1
5900ce5a,2024-01-01 05:00:00,aaeb81,Books,T-Shirt,2,292,584,Credit Card,January,2024,1
ae1911cf,2024-01-01 06:00:00,b1a4f4,Beauty,T-Shirt,3,52,156,Credit Card,January,2024,1
19900f1a,2024-01-01 07:00:00,4ddebc,Books,Laptop,3,123,369,Cash,January,2024,1
6bb7a05a,2024-01-01 08:00:00,8215fb,Clothing,Lipstick,1,180,180,Credit Card,January,2024,1
b2a82b7f,2024-01-01 09:00:00,deb177,Books,Lipstick,2,287,574,Debit Card,January,2024,1
c45eb978,2024-01-01 10:00:00,59fe4a,Clothing,Novel,2,197,394,Credit Card,January,2024,1
0076ef3c,2024-01-01 11:00:00,f59c2a,Electronics,T-Shirt,2,482,964,Upi,January,2024,1
6205c188,2024-01-01 12:00:00,f415cd,Beauty,Laptop,1,346,346,Upi,January,2024,1
6e773218,2024-01-01 13:00:00,0a16fe,Beauty,Novel,3,218,654,Cash,January,2024,1
933a61f0,2024-01-01 14:00:00,f59c2a,Books,T-Shirt,2,189,378,Cash,January,2024,1
75890618,2024-01-01 15:00:00,c5940a,Home Decor,Novel,2,196,392,Upi,January,2024,1
78d65353,2024-01-01 16:00:00,0ae342,Electronics,Laptop,4,426,1704,Upi,January,2024,1
90f561c3,2024-01-01 17:00:00,c984e3,Books,Laptop,3,220,660,Cash,January,2024,1
d828521a,2024-01-01 18:00:00,197942,Beauty,T-Shirt,1,270,270,Upi,January,2024,1
659a53a0,2024-01-01 19:00:00,e15d65,Beauty,T-Shirt,4,82,328,Cash,January,2024,1
04529cab,2024-01-01 20:00:00,2a6646,Clothing,Lipstick,1,458,458,Upi,January,2024,1
