Transaction_ID,Date,Customer_ID,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Payment_Method
f3daa723,2024-01-01 00:00:00,0583d6,Clothing,Sofa,4,412,1648,Credit Card
9e5061b5,2024-01-01 01:00:00,4c0f1b,Home Decor,Novel,3,201,603,Cash
a5da9276,2024-01-01 02:00:00,00b49a,Home Decor,T-Shirt,1,480,480,Credit Card
b72e138c,2024-01-01 03:00:00,e093b6,Books,Laptop,2,16,32,Credit Card
c6010e46,2024-01-01 04:00:00,7c817c,Home Decor,Laptop,4,342,1368,Debit Card
5900ce5a,2024-01-01 05:00:00,aaeb81,Books,T-Shirt,2,292,584,Credit Card
ae1911cf,2024-01-01 06:00:00,b1a4f4,Beauty,T-Shirt,3,52,156,Credit Card
19900f1a,2024-01-01 07:00:00,4ddebc,Books,Laptop,3,123,369,Cash
6bb7a05a,2024-01-01 08:00:00,8215fb,Clothing,Lipstick,1,180,180,Credit Card
b2a82b7f,2024-01-01 09:00:00,deb177,Books,Lipstick,2,287,574,Debit Card
c45eb978,2024-01-01 10:00:00,59fe4a,Clothing,Novel,2,197,394,Credit Card
0076ef3c,2024-01-01 11:00:00,f59c2a,Electronics,T-Shirt,2,482,964,UPI
6205c188,2024-01-01 12:00:00,f415cd,Beauty,Laptop,1,346,346,UPI
6e773218,2024-01-01 13:00:00,0a16fe,Beauty,Novel,3,218,654,Cash
933a61f0,2024-01-01 14:00:00,f59c2a,Books,T-Shirt,2,189,378,Cash
75890618,2024-01-01 15:00:00,c5940a,Home Decor,Novel,2,196,392,UPI
78d65353,2024-01-01 16:00:00,0ae342,Electronics,Laptop,4,426,1704,UPI
90f561c3,2024-01-01 17:00:00,c984e3,Books,Laptop,3,220,660,Cash
d828521a,2024-01-01 18:00:00,197942,Beauty,T-Shirt,1,270,270,UPI
659a53a0,2024-01-01 19:00:00,e15d65,Beauty,T-Shirt,4,82,328,Cash
04529cab,2024-01-01 20:00:00,2a6646,Clothing,Lipstick,1,458,458,UPI
3ea17ba9,2024-01-01 21:00:00,96ff57,Clothing,Novel,1,138,138,Credit Card
feb0d563,2024-01-01 22:00:00,38d9b9,Home Decor,Novel,2,74,148,Credit Card
1492892c,2024-01-01 23:00:00,9a1148,Beauty,Sofa,2,286,572,UPI
9f076e2d,2024-01-02 00:00:00,5d31de,Beauty,Novel,2,338,676,Cash
6abe1d71,2024-01-02 01:00:00,780364,Electronics,Lipstick,3,77,231,Cash
bc397061,2024-01-02 02:00:00,4700d8,Clothing,Novel,4,188,752,Cash
a7bb4386,2024-01-02 03:00:00,cb2083,Clothing,Novel,4,99,396,Debit Card
dd67e4c1,2024-01-02 04:00:00,d5fa58,Books,Sofa,1,337,337,Credit Card
1c63202d,2024-01-02 05:00:00,7c9826,Electronics,Novel,2,482,964,Debit Card
19f900bd,2024-01-02 06:00:00,a82434,Books,Lipstick,3,444,1332,Debit Card
2e1699ad,2024-01-02 07:00:00,446290,Home Decor,Laptop,4,389,1556,Credit Card
d4cebf27,2024-01-02 08:00:00,85ae39,Beauty,Lipstick,2,273,546,Debit Card
77e331a9,2024-01-02 09:00:00,e0053e,Electronics,T-Shirt,3,251,753,Debit Card
4fd96fe7,2024-01-02 10:00:00,7b91fc,Home Decor,Laptop,4,219,876,Cash
96f60e16,2024-01-02 11:00:00,55721d,Books,Lipstick,2,211,422,Credit Card
b916ec42,2024-01-02 12:00:00,5f7b2e,Beauty,T-Shirt,2,493,986,Cash
7eae6f84,2024-01-02 13:00:00,e3dbd3,Books,Laptop,2,394,788,Cash
10ac4675,2024-01-02 14:00:00,6d82aa,Electronics,Laptop,3,273,819,Cash
b26c42b8,2024-01-02 15:00:00,c768fe,Beauty,Novel,4,30,120,UPI
a2046203,2024-01-02 16:00:00,c768fe,Beauty,Sofa,2,335,670,UPI
55a2605f,2024-01-02 17:00:00,54fab6,Home Decor,Novel,1,292,292,Credit Card
9df483f8,2024-01-02 18:00:00,cef8e5,Clothing,Novel,2,14,28,Cash
388cb79b,2024-01-02 19:00:00,ae70df,Clothing,Novel,1,57,57,Debit Card
5f8df828,2024-01-02 20:00:00,83e133,Beauty,Sofa,1,408,408,Debit Card
de561a83,2024-01-02 21:00:00,bfb7c7,Electronics,Sofa,1,307,307,Debit Card
505dade2,2024-01-02 22:00:00,aaf3d9,Beauty,Novel,1,195,195,Credit Card
a2aee816,2024-01-02 23:00:00,346072,Electronics,Novel,4,458,1832,UPI
4ab11ada,2024-01-03 00:00:00,7f03a0,Electronics,Novel,3,120,360,Cash
bad9b96f,2024-01-03 01:00:00,db7a6a,Clothing,Sofa,3,458,1374,Credit Card
